city,days,temp_mean,temp_min,temp_max,precip_total
edinburgh,1827,9.7,-3.0,23.6,5126.3
london,1827,11.54,-4.8,29.1,3885.2
manchester,1827,10.6,-4.0,26.8,6137.5
